dataset,mode,scheduler,scheduler_ablation,split_protocol,noise_multiplier,dp_enabled,rounds,n,seeds,partition_seeds,arch_seeds,final_accuracy_mean,final_accuracy_std,final_macro_f1_mean,final_macro_f1_std,uplink_mb_mean,uplink_mb_std,downlink_mb_mean,downlink_mb_std,time_s_mean,time_s_std,energy_j_mean,energy_j_std,epsilon_max_mean,epsilon_max_std
cifar10,Count-only-transfer,mobile,,independent,0.5,true,20,3,"42,43,44","42,43,44","42,43,44",0.28734375,0.02453722061099223,0.18764634371424715,0.027494061076931937,0.00019073486328125,0.0,0.00034332275390625,0.0,41.44083517240861,16.66722651546118,16.43186382643382,5.2994249178584525,81.89040670331741,1.782131017127136
cifar10,FedAvg-small_cnn,mobile,,fixed,0.0,false,20,3,"42,43,44","42,42,42","42,42,42",0.5364,0.02531639784803516,0.4750974675019582,0.044182841115537094,1.729248046875,0.0,1.729248046875,0.0,15.895819364548965,5.411010373253141,10.116031033931131,3.4215444864352147,0.0,0.0
cifar10,FedAvg-small_cnn,mobile,,independent,0.0,false,20,1,42,42,42,0.5939,0.0,0.5464199781417847,0.0,1.729248046875,0.0,1.729248046875,0.0,13.58377856824284,0.0,9.27021424713135,0.0,0.0,0.0
cifar10,FedProto-style,mobile,,fixed,0.5,true,20,3,"42,43,44","42,42,42","42,42,42",0.24354166666666668,0.011225378148790075,0.14228177387267352,0.007721914730890529,0.01972198486328125,0.0,0.01987457275390625,0.0,23.742974208770736,14.518359763630775,10.012365159810988,4.262330910790677,181.16781078978704,4.579838127025437
cifar10,Histogram-only,mobile,,independent,0.5,true,20,3,"42,43,44","42,43,44","42,43,44",0.2696354166666667,0.025164174476492038,0.17375712838644783,0.028115733658011947,0.00019073486328125,0.0,0.0,0.0,38.497728118983034,20.189131463939066,12.63488290309906,6.870964501424441,81.89040670331741,1.782131017127136
cifar10,Histogram-only,random,,independent,0.5,true,20,3,"42,43,44","42,43,44","42,43,44",0.32276041666666666,0.025880176364272218,0.21319698716203372,0.02701293302807516,0.00019073486328125,0.0,0.0,0.0,79.12304280349667,17.474746886887882,19.104811030228934,9.716480925739624,56.06545591971953,5.227860425446768
cifar10,Local-only,mobile,,fixed,0.0,false,20,3,"42,43,44","42,42,42","42,42,42",0.24817708333333333,0.004698771171363133,0.1501820191120108,0.004082352694808507,0.0,0.0,0.0,0.0,23.739943580294565,14.517540516622953,10.002640376387701,4.260881062100322,0.0,0.0
cifar10,Local-only,mobile,,independent,0.0,false,20,1,42,42,42,0.25999999999999995,0.0,0.15891329515725375,0.0,0.0,0.0,0.0,0.0,58.98398525743599,0.0,10.358624725341798,0.0,0.0,0.0
cifar10,Mean-only,mobile,,independent,0.5,true,20,3,"42,43,44","42,43,44","42,43,44",0.285625,0.03186733976581666,0.18605726885919768,0.03231729629505997,0.00995635986328125,0.0,0.0,0.0,41.09268284091186,16.529046844617877,16.29459273036321,5.254418420800517,138.851457001405,3.1967217692500047
cifar10,Mean-only,random,,independent,0.5,true,20,3,"42,43,44","42,43,44","42,43,44",0.32729166666666665,0.02253487603739665,0.21629742930332818,0.02112570206953144,0.00995635986328125,0.0,0.0,0.0,79.13164396372702,17.47842296771808,19.10707458003362,9.71647428195343,92.95687835359274,9.182887189636281
cifar10,PALM-transfer,mobile,,fixed,0.5,true,20,2,"43,44","42,42","42,42",0.2490625,0.013479223016368589,0.1503706704825163,0.0058807350213280814,0.01972198486328125,0.0,0.01987457275390625,0.0,27.112063167325644,19.198701370433326,11.497426993565945,5.019655563233466,182.48989617752858,5.609133257878065
