experiment_dir,experiment_name,dataset,mode,scheduler,scheduler_ablation,seed,partition_seed,arch_seed,split_protocol,rounds,participation_rate,noise_multiplier,dp_enabled,summary_mode,transfer_package_mode,accounting_releases_per_round,profile_csv,final_accuracy,final_macro_f1,uplink_mb,downlink_mb,time_s,energy_j,epsilon_max,epsilon_mean,num_selected_clients
outputs/fedavg_cifar10_small_cnn_seed42_indsplit_trace_20260419_022549,fedavg_cifar10_small_cnn_seed42_indsplit_trace_20260419_022549,cifar10,FedAvg-small_cnn,mobile,,42,42,42,independent,20,0.4,0.0,false,full,full,0,data/mobilebandwidth/real_mobile_profiles.csv,0.5939,0.5464199781417847,1.729248046875,1.729248046875,13.58377856824284,9.27021424713135,0.0,0.0,4
outputs/fedavg_mnist_small_cnn_seed42_indsplit_trace_20260419_001813,fedavg_mnist_small_cnn_seed42_indsplit_trace_20260419_001813,mnist,FedAvg-small_cnn,mobile,,42,42,42,independent,15,0.4,0.0,false,full,full,0,data/mobilebandwidth/real_mobile_profiles.csv,0.9747,0.9743792414665222,1.599609375,1.599609375,8.780059285350243,3.020370401000976,0.0,0.0,4
outputs/fedavg_mnist_small_cnn_seed43_indsplit_trace_20260419_004215,fedavg_mnist_small_cnn_seed43_indsplit_trace_20260419_004215,mnist,FedAvg-small_cnn,mobile,,43,43,43,independent,15,0.4,0.0,false,full,full,0,data/mobilebandwidth/real_mobile_profiles.csv,0.9566,0.9565471410751343,1.599609375,1.599609375,7.3288069100215525,3.332314819335937,0.0,0.0,4
outputs/fedavg_mnist_small_cnn_seed44_indsplit_trace_20260419_010906,fedavg_mnist_small_cnn_seed44_indsplit_trace_20260419_010906,mnist,FedAvg-small_cnn,mobile,,44,44,44,independent,15,0.4,0.0,false,full,full,0,data/mobilebandwidth/real_mobile_profiles.csv,0.9482,0.9473377466201782,1.599609375,1.599609375,8.780059285350243,4.035905383300781,0.0,0.0,4
outputs/fedmd_mnist_proxy_seed42_indsplit_trace_20260419_002409,fedmd_mnist_proxy_seed42_indsplit_trace_20260419_002409,mnist,FedMD-proxy,mobile,,42,42,42,independent,15,0.4,0.0,false,full,full,0,data/mobilebandwidth/real_mobile_profiles.csv,0.40862,0.28420146405696867,0.078125,0.078125,24.01227786217207,3.617887245178223,0.0,0.0,4
outputs/fedmd_mnist_proxy_seed43_indsplit_trace_20260419_004742,fedmd_mnist_proxy_seed43_indsplit_trace_20260419_004742,mnist,FedMD-proxy,mobile,,43,43,43,independent,15,0.4,0.0,false,full,full,0,data/mobilebandwidth/real_mobile_profiles.csv,0.47983000000000003,0.3631066123023629,0.078125,0.078125,6.945948846146643,4.7626394729614265,0.0,0.0,4
outputs/fedmd_mnist_proxy_seed44_indsplit_trace_20260419_011543,fedmd_mnist_proxy_seed44_indsplit_trace_20260419_011543,mnist,FedMD-proxy,mobile,,44,44,44,independent,15,0.4,0.0,false,full,full,0,data/mobilebandwidth/real_mobile_profiles.csv,0.4820399999999999,0.38346795588731764,0.078125,0.078125,4.907288256415517,2.263410270690918,0.0,0.0,4
outputs/fedproto_mnist_mobile_sigma05_seed42_indsplit_trace_20260419_002013,fedproto_mnist_mobile_sigma05_seed42_indsplit_trace_20260419_002013,mnist,FedProto-style,mobile,,42,42,42,independent,15,0.4,0.5,true,full,full,0,data/mobilebandwidth/real_mobile_profiles.csv,0.5046875,0.4067437814548612,0.01483917236328125,0.01499176025390625,22.95008384218084,5.12042603302002,146.196004342964,81.70868122332254,4
outputs/fedproto_mnist_mobile_sigma05_seed43_indsplit_trace_20260419_004414,fedproto_mnist_mobile_sigma05_seed43_indsplit_trace_20260419_004414,mnist,FedProto-style,mobile,,43,43,43,independent,15,0.4,0.5,true,full,full,0,data/mobilebandwidth/real_mobile_profiles.csv,0.54078125,0.43298975210636853,0.01483917236328125,0.01499176025390625,15.466740152941147,8.60953132724762,137.93356943375483,81.33775543439907,4
outputs/fedproto_mnist_mobile_sigma05_seed44_indsplit_trace_20260419_011132,fedproto_mnist_mobile_sigma05_seed44_indsplit_trace_20260419_011132,mnist,FedProto-style,mobile,,44,44,44,independent,15,0.4,0.5,true,full,full,0,data/mobilebandwidth/real_mobile_profiles.csv,0.4615625,0.34785952530801295,0.01483917236328125,0.01499176025390625,10.32959722218516,6.931114372253418,137.93356943375483,81.38357739372306,4
