Dataset,Architecture,Mean accuracy,Std accuracy,Mean macro-F1,Std macro-F1,Client count,Seeds
CIFAR-10,small_cnn,31.09,4.85,0.1898,0.0639,3,42
CIFAR-10,tiny_mobilenet,32.11,11.82,0.2116,0.1162,2,42
CIFAR-10,tiny_resnet,27.97,3.09,0.1822,0.0229,2,42
CIFAR-10,wide_cnn,27.08,7.80,0.1433,0.0817,3,42
CIFAR-10,small_cnn,36.01,7.82,0.2520,0.0881,9,"42,43,44"
CIFAR-10,tiny_mobilenet,33.52,6.86,0.2259,0.0763,6,"42,43,44"
CIFAR-10,tiny_resnet,30.78,3.97,0.1886,0.0297,6,"42,43,44"
CIFAR-10,wide_cnn,30.54,6.24,0.1825,0.0683,9,"42,43,44"
MNIST,small_cnn,58.18,11.31,0.4623,0.1406,9,"42,43,44"
MNIST,tiny_mobilenet,52.24,6.39,0.3951,0.0651,6,"42,43,44"
MNIST,tiny_resnet,64.92,12.61,0.5726,0.1460,6,"42,43,44"
MNIST,wide_cnn,50.76,10.80,0.3788,0.1349,9,"42,43,44"
MNIST,small_cnn,57.55,9.68,0.4618,0.1346,9,"42,43,44"
MNIST,tiny_mobilenet,51.20,8.87,0.3905,0.0753,6,"42,43,44"
MNIST,tiny_resnet,65.83,11.67,0.5771,0.1369,6,"42,43,44"
MNIST,wide_cnn,49.39,11.11,0.3686,0.1341,9,"42,43,44"
