experiment_dir,experiment_name,dataset,mode,scheduler,scheduler_ablation,seed,partition_seed,arch_seed,split_protocol,rounds,participation_rate,noise_multiplier,dp_enabled,summary_mode,transfer_package_mode,accounting_releases_per_round,profile_csv,final_accuracy,final_macro_f1,uplink_mb,downlink_mb,time_s,energy_j,epsilon_max,epsilon_mean,num_selected_clients
outputs/fedavg_cifar10_small_cnn_seed42_fixedsplit_cuda_20260418_204823,fedavg_cifar10_small_cnn_seed42_fixedsplit_cuda_20260418_204823,cifar10,FedAvg-small_cnn,mobile,,42,42,42,fixed,20,0.4,0.0,false,full,full,0,,0.5648,0.5210912823677063,1.729248046875,1.729248046875,20.694058009146506,9.125660828862754,0.0,0.0,4
outputs/fedavg_cifar10_small_cnn_seed42_indsplit_trace_20260419_022549,fedavg_cifar10_small_cnn_seed42_indsplit_trace_20260419_022549,cifar10,FedAvg-small_cnn,mobile,,42,42,42,independent,20,0.4,0.0,false,full,full,0,data/mobilebandwidth/real_mobile_profiles.csv,0.5939,0.5464199781417847,1.729248046875,1.729248046875,13.58377856824284,9.27021424713135,0.0,0.0,4
outputs/fedavg_cifar10_small_cnn_seed43_fixedsplit_cuda_20260418_210013,fedavg_cifar10_small_cnn_seed43_fixedsplit_cuda_20260418_210013,cifar10,FedAvg-small_cnn,mobile,,43,42,42,fixed,20,0.4,0.0,false,full,full,0,,0.5282,0.471219927072525,1.729248046875,1.729248046875,10.030908258029571,13.92351772529141,0.0,0.0,4
outputs/fedavg_cifar10_small_cnn_seed44_fixedsplit_cuda_20260418_211210,fedavg_cifar10_small_cnn_seed44_fixedsplit_cuda_20260418_211210,cifar10,FedAvg-small_cnn,mobile,,44,42,42,fixed,20,0.4,0.0,false,full,full,0,,0.5162,0.4329811930656433,1.729248046875,1.729248046875,16.962491826470817,7.298914547639232,0.0,0.0,4
outputs/fedavg_fake_smoke_cuda_20260418_192641,fedavg_fake_smoke_cuda_20260418_192641,fake,FedAvg-small_cnn,mobile,,7,7,7,independent,2,0.5,0.5,true,full,full,0,,0.085,0.015668202191591263,1.503173828125,1.503173828125,0.5698071551364448,0.8733638172362952,0.0,0.0,4
outputs/fedavg_mnist_small_cnn_seed42_fixedsplit_cuda_20260418_204620,fedavg_mnist_small_cnn_seed42_fixedsplit_cuda_20260418_204620,mnist,FedAvg-small_cnn,mobile,,42,42,42,fixed,15,0.4,0.0,false,full,full,0,,0.9778,0.9774279594421387,1.599609375,1.599609375,4.201751917293135,4.497686100834881,0.0,0.0,4
outputs/fedavg_mnist_small_cnn_seed42_indsplit_trace_20260419_001813,fedavg_mnist_small_cnn_seed42_indsplit_trace_20260419_001813,mnist,FedAvg-small_cnn,mobile,,42,42,42,independent,15,0.4,0.0,false,full,full,0,data/mobilebandwidth/real_mobile_profiles.csv,0.9747,0.9743792414665222,1.599609375,1.599609375,8.780059285350243,3.020370401000976,0.0,0.0,4
outputs/fedavg_mnist_small_cnn_seed43_fixedsplit_cuda_20260418_205810,fedavg_mnist_small_cnn_seed43_fixedsplit_cuda_20260418_205810,mnist,FedAvg-small_cnn,mobile,,43,42,42,fixed,15,0.4,0.0,false,full,full,0,,0.9409,0.9329303503036499,1.599609375,1.599609375,4.101427503969435,5.441467836202287,0.0,0.0,4
outputs/fedavg_mnist_small_cnn_seed43_indsplit_trace_20260419_004215,fedavg_mnist_small_cnn_seed43_indsplit_trace_20260419_004215,mnist,FedAvg-small_cnn,mobile,,43,43,43,independent,15,0.4,0.0,false,full,full,0,data/mobilebandwidth/real_mobile_profiles.csv,0.9566,0.9565471410751343,1.599609375,1.599609375,7.3288069100215525,3.332314819335937,0.0,0.0,4
outputs/fedavg_mnist_small_cnn_seed44_fixedsplit_cuda_20260418_211004,fedavg_mnist_small_cnn_seed44_fixedsplit_cuda_20260418_211004,mnist,FedAvg-small_cnn,mobile,,44,42,42,fixed,15,0.4,0.0,false,full,full,0,,0.9637,0.9622495770454407,1.599609375,1.599609375,6.277076091826545,4.718269678922353,0.0,0.0,4
